,fips_st_cnty,hosp_beds_22,popn_est_22,beds_per_capita_22,beds_per_1000_22
0,1001,77.0,59759.0,0.0012885088438561556,1.2885088438561556
1,1003,418.0,246435.0,0.0016961876356848661,1.6961876356848662
2,1005,47.0,24706.0,0.0019023718934671739,1.9023718934671738
3,1007,166.0,22005.0,0.007543740059077483,7.543740059077483
4,1009,25.0,59512.0,0.00042008334453555587,0.42008334453555585
5,1011,54.0,10202.0,0.005293079788276808,5.293079788276809
6,1013,61.0,18650.0,0.0032707774798927613,3.2707774798927614
7,1015,429.0,115788.0,0.003705047155145611,3.705047155145611
8,1017,0.0,34088.0,0.0,0.0
9,1019,45.0,25302.0,0.0017785155323689827,1.7785155323689827
10,1021,26.0,45884.0,0.00056664632551652,0.5666463255165199
11,1023,25.0,12439.0,0.0020098078623683575,2.0098078623683575
12,1025,66.0,22515.0,0.0029313790806129248,2.931379080612925
13,1027,129.0,14198.0,0.009085786730525427,9.085786730525427
14,1029,0.0,15346.0,0.0,0.0
15,1031,99.0,54805.0,0.001806404525134568,1.806404525134568
16,1033,284.0,58033.0,0.004893767339272483,4.8937673392724825
17,1035,44.0,11206.0,0.003926467963590933,3.926467963590933
18,1037,0.0,10166.0,0.0,0.0
19,1039,137.0,37602.0,0.0036434232221690334,3.6434232221690332
20,1041,93.0,13025.0,0.007140115163147793,7.140115163147793
21,1043,145.0,90665.0,0.0015992941046710418,1.5992941046710418
22,1045,69.0,49544.0,0.0013927014371064104,1.3927014371064104
23,1047,149.0,36767.0,0.004052547121059646,4.0525471210596455
24,1049,115.0,71998.0,0.0015972665907386316,1.5972665907386316
25,1051,96.0,89563.0,0.001071871196811183,1.0718711968111831
26,1053,82.0,36666.0,0.0022364042982599684,2.2364042982599686
27,1055,549.0,103088.0,0.00532554710538569,5.32554710538569
28,1057,167.0,16118.0,0.010361086983496711,10.361086983496712
29,1059,114.0,31932.0,0.003570086433671552,3.570086433671552
30,1061,147.0,26783.0,0.0054885561736922675,5.488556173692268
31,1063,92.0,7422.0,0.012395580706009162,12.395580706009163
32,1065,20.0,14595.0,0.0013703323055841042,1.3703323055841041
33,1067,0.0,17655.0,0.0,0.0
34,1069,797.0,108079.0,0.007374235512911852,7.374235512911851
35,1071,92.0,52891.0,0.0017394263674349133,1.7394263674349133
36,1073,4558.0,665409.0,0.006849922378567167,6.849922378567167
37,1075,0.0,13705.0,0.0,0.0
38,1077,239.0,95878.0,0.002492751204655917,2.492751204655917
39,1079,43.0,33214.0,0.0012946347925573553,1.2946347925573554
40,1081,544.0,180773.0,0.003009298955043065,3.0092989550430653
41,1083,102.0,110900.0,0.0009197475202885482,0.9197475202885482
42,1085,0.0,9777.0,0.0,0.0
43,1087,0.0,18516.0,0.0,0.0
44,1089,1319.0,403565.0,0.00326837064661207,3.26837064661207
45,1091,47.0,18745.0,0.0025073352894105093,2.507335289410509
46,1093,71.0,29156.0,0.0024351762930443135,2.4351762930443135
47,1095,183.0,99423.0,0.0018406203795902356,1.8406203795902356
48,1097,1629.0,411411.0,0.003959544105529507,3.9595441055295066
49,1099,44.0,19404.0,0.0022675736961451248,2.2675736961451247
50,1101,1292.0,226361.0,0.005707696997274266,5.707696997274266
51,1103,110.0,124211.0,0.0008855898430895814,0.8855898430895814
52,1105,0.0,8035.0,0.0,0.0
53,1107,0.0,18697.0,0.0,0.0
54,1109,43.0,33014.0,0.001302477736717756,1.302477736717756
55,1111,15.0,22479.0,0.0006672894701721607,0.6672894701721607
56,1113,90.0,58555.0,0.0015370164802322602,1.5370164802322601
57,1115,40.0,93932.0,0.0004258399693395222,0.4258399693395222
58,1117,317.0,230115.0,0.0013775720835234556,1.3775720835234555
59,1119,33.0,11853.0,0.0027841052898000505,2.7841052898000505
60,1121,173.0,80704.0,0.002143636003172086,2.143636003172086
61,1123,94.0,40977.0,0.002293969787929814,2.293969787929814
62,1125,1969.0,236780.0,0.008315736126362024,8.315736126362024
63,1127,178.0,64339.0,0.002766595688462674,2.766595688462674
64,1129,20.0,15122.0,0.0013225763787858748,1.3225763787858749
65,1131,0.0,10059.0,0.0,0.0
66,1133,59.0,23755.0,0.0024836876447063777,2.483687644706378
67,2013,0.0,3398.0,0.0,0.0
68,2016,0.0,5122.0,0.0,0.0
69,2020,1106.0,287145.0,0.0038517125494088355,3.8517125494088353
70,2050,82.0,18257.0,0.004491427945445582,4.491427945445582
71,2060,0.0,865.0,0.0,0.0
72,2063,0.0,6874.0,0.0,0.0
73,2066,0.0,2589.0,0.0,0.0
74,2068,0.0,1585.0,0.0,0.0
75,2070,16.0,4723.0,0.0033876773237349143,3.3876773237349145
76,2090,238.0,95356.0,0.0024959100633415833,2.4959100633415834
77,2100,0.0,2056.0,0.0,0.0
78,2105,0.0,2287.0,0.0,0.0
79,2110,73.0,31685.0,0.0023039293040871076,2.3039293040871076
80,2122,218.0,60690.0,0.0035920250453122427,3.592025045312243
81,2130,54.0,13741.0,0.0039298449894476385,3.9298449894476386
82,2150,6.0,12720.0,0.0004716981132075472,0.4716981132075472
83,2158,0.0,8278.0,0.0,0.0
84,2164,0.0,1381.0,0.0,0.0
85,2170,125.0,113325.0,0.0011030222810500773,1.1030222810500772
86,2180,36.0,9835.0,0.0036603965429588205,3.6603965429588206
87,2185,14.0,10805.0,0.0012956964368347986,1.2956964368347987
88,2188,30.0,7423.0,0.0040414926579550045,4.041492657955004
89,2195,27.0,3360.0,0.008035714285714285,8.035714285714285
90,2198,0.0,5650.0,0.0,0.0
91,2201,,,,
